72208 CHS Charleston Observations at 00Z 08 Oct 2016
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1004.0     15   25.8   24.8     94  20.10     55     12  298.6  357.4  302.2
 1001.0     43   24.8   23.3     91  18.38     59     17  297.9  351.4  301.1
 1000.0     52   25.0   23.5     91  18.63     60     19  298.1  352.5  301.5
  971.6    305   23.2   22.1     94  17.60     70     41  298.8  350.2  301.9
  957.0    438   22.2   21.4     95  17.08     74     49  299.1  349.1  302.1
  938.3    610   21.1   20.4     96  16.38     80     59  299.7  347.8  302.6
  925.0    734   20.4   19.7     96  15.88     80     59  300.2  346.9  303.0
  905.9    914   19.4   18.6     96  15.16     80     59  300.9  345.6  303.6
  874.3   1219   17.6   16.8     95  13.99     80     61  302.1  343.6  304.7
  850.0   1462   16.2   15.4     95  13.11     80     64  303.1  342.2  305.5
  843.0   1533   15.6   14.9     96  12.80     81     64  303.2  341.4  305.5
  813.8   1829   14.4   13.8     96  12.34     85     64  305.0  342.1  307.2
  784.9   2134   13.1   12.7     97  11.87     85     67  306.8  342.8  309.0
  757.0   2438   11.9   11.5     98  11.42     85     67  308.6  343.6  310.8
  730.1   2743   10.7   10.4     98  10.97     85     69  310.5  344.3  312.5
  700.0   3097    9.2    9.1     99  10.47     85     64  312.6  345.2  314.6
  654.0   3658    6.6    6.6    100   9.42     85     55  315.9  345.6  317.6
  617.0   4140    4.4    4.4    100   8.57     89     61  318.6  346.1  320.3
  607.4   4267    3.5    3.5    100   8.18     90     62  319.0  345.3  320.6
  577.0   4684    0.6    0.6    100   6.98     93     69  320.3  343.0  321.7
  563.3   4877   -0.1   -0.1    100   6.77     95     72  321.7  343.8  323.0
  500.0   5830   -3.7   -3.8     99   5.81    110     63  328.5  348.1  329.6
  483.4   6096   -4.5   -4.6     99   5.67    115     54  330.7  350.0  331.8
  479.0   6169   -4.7   -4.8     99   5.63    115     54  331.3  350.5  332.4
  400.0   7570  -11.9  -12.8     93   3.59    115     55  339.4  352.4  340.2
  397.4   7620  -12.2  -13.1     93   3.53    120     59  339.7  352.4  340.4
  381.6   7925  -14.0  -15.0     92   3.14    120     44  341.3  352.7  341.9
  335.0   8909  -19.7  -21.2     88   2.12    144     45  346.4  354.4  346.9
  324.5   9144  -21.4  -22.8     88   1.90    150     45  347.3  354.5  347.7
  301.0   9696  -25.3  -26.6     89   1.45    150     44  349.3  354.9  349.6
  300.0   9720  -25.3  -26.6     89   1.46    150     44  349.6  355.3  349.9
  250.0  11010  -36.1  -39.5     71   0.50    155     33  352.2  354.3  352.4
  232.0  11525  -40.3  -44.4     65   0.32    151     32  353.5  354.9  353.6
  230.1  11582  -40.8  -44.8     65   0.31    150     32  353.6  354.9  353.7
  209.0  12229  -46.3  -49.5     70   0.20    160     29  354.8  355.7  354.8
  200.0  12520  -49.1  -52.2     70   0.15    165     27  354.9  355.5  354.9
  192.0  12786  -51.7  -55.6     63   0.11    169     25  354.9  355.3  354.9
  178.0  13271  -56.3  -59.5     67   0.07    177     22  355.1  355.4  355.1
  168.0  13635  -60.1  -64.6     55   0.04    184     20  354.7  354.9  354.7
  165.8  13716  -60.9  -65.2     56   0.04    185     19  354.8  354.9  354.8
  157.8  14021  -63.7  -67.3     61   0.03    215     20  355.1  355.2  355.1
  150.0  14330  -66.5  -69.5     66   0.02    215     21  355.3  355.4  355.3
  146.0  14493  -67.7  -71.4     59   0.02    216     22  356.0  356.1  356.0
  141.0  14701  -69.9  -73.1     63   0.01    218     23  355.7  355.8  355.7
  138.0  14828  -70.9  -75.1     54   0.01    219     23  356.1  356.2  356.2
  136.0  14914  -71.7  -76.0     53   0.01    220     24  356.2  356.3  356.2
  135.5  14935  -71.7  -76.1     52   0.01    220     24  356.6  356.7  356.6
  130.0  15180  -71.5  -77.5     40   0.01    252     30  361.2  361.2  361.2
  128.7  15240  -71.8  -77.6     42   0.01    260     32  361.7  361.8  361.7
  123.0  15505  -73.1  -78.1     47   0.01    256     28  364.1  364.1  364.1
  122.2  15545  -72.8  -78.3     44   0.01    255     27  365.2  365.3  365.2
  119.0  15699  -71.9  -78.9     34   0.01    245     28  369.7  369.8  369.7
  115.0  15900  -71.9  -78.9     34   0.01    232     29  373.3  373.4  373.3
  110.1  16154  -74.0  -79.9     40   0.01    215     30  374.1  374.1  374.1
  105.0  16429  -76.3  -81.0     48   0.01    224     32  374.8  374.8  374.8
  104.5  16459  -76.3  -81.1     47   0.01    225     32  375.3  375.3  375.3
  103.0  16539  -76.5  -81.5     45   0.01    233     27  376.5  376.5  376.5
  102.0  16596  -75.5  -81.5     39   0.01    239     23  379.4  379.5  379.4
  100.0  16710  -75.3  -81.3     39   0.01    250     15  382.0  382.0  382.0
   96.5  16916  -76.5  -82.5     38   0.00    218     12  383.6  383.6  383.6
   90.5  17286  -75.9  -81.9     39   0.01    160      7  391.9  391.9  391.9
   89.9  17324  -73.9  -81.9     28   0.01    155      7  396.6  396.6  396.6
   88.8  17396  -73.3  -81.3     29   0.01    143      6  399.2  399.2  399.2
   84.6  17678  -74.4  -81.5     33   0.01    100      2  402.5  402.5  402.5
   80.3  17983  -75.6  -81.7     38   0.01    120     22  406.1  406.1  406.1
