72208 CHS Charleston Observations at 00Z 15 Sep 2018
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1001.0     15   28.4   21.4     66  16.32    280      4  301.5  349.8  304.4
 1000.0     23   28.4   21.4     66  16.33    280      5  301.6  349.9  304.5
  968.5    305   25.7   20.4     73  15.83    290     34  301.6  348.4  304.4
  935.6    610   22.7   19.3     81  15.29    290     50  301.5  346.8  304.3
  930.0    663   22.2   19.1     83  15.20    293     50  301.5  346.5  304.3
  925.0    710   21.6   18.9     85  15.09    295     50  301.4  346.0  304.1
  919.0    767   20.2   18.6     91  14.90    296     50  300.5  344.4  303.2
  911.0    842   19.8   18.9     95  15.33    298     49  300.9  346.1  303.6
  903.4    914   19.4   18.6     95  15.21    300     49  301.2  346.1  303.9
  872.0   1219   17.9   17.6     98  14.72    310     49  302.7  346.4  305.3
  850.0   1439   16.8   16.8    100  14.37    320     46  303.7  346.6  306.4
  811.8   1829   15.3   15.3    100  13.67    330     43  306.2  347.4  308.7
  783.1   2134   14.2   14.2    100  13.13    330     41  308.1  348.1  310.5
  755.6   2438   13.0   13.0    100  12.61    335     38  310.0  348.7  312.4
  728.9   2743   11.8   11.8    100  12.10    335     42  311.9  349.4  314.2
  728.0   2754   11.8   11.8    100  12.09    335     42  312.0  349.4  314.3
  701.0   3070   10.0    9.9     99  11.04    345     51  313.4  347.9  315.5
  700.0   3082   10.0    9.8     99  10.98    345     51  313.5  347.8  315.6
  686.0   3250    8.8    6.2     84   8.74    344     55  314.0  341.5  315.7
  652.7   3658    6.8    4.5     86   8.17    340     66  316.2  342.2  317.8
  606.0   4267    3.7    2.0     89   7.36    335     75  319.5  343.3  320.9
  581.0   4612    2.0    0.6     90   6.93    327     73  321.3  343.9  322.7
  575.0   4696    1.8    0.1     88   6.75    324     72  322.1  344.2  323.4
  564.0   4853    3.4   -2.6     65   5.64    321     71  325.7  344.6  326.8
  562.3   4877    3.3   -2.9     64   5.53    320     71  325.9  344.4  327.0
  556.0   4969    3.0   -4.0     60   5.15    317     68  326.6  343.9  327.6
  546.0   5116    1.2   -3.8     69   5.32    312     64  326.1  344.0  327.2
  541.5   5182    1.3   -5.0     63   4.92    310     62  327.1  343.7  328.0
  539.0   5220    1.4   -5.6     60   4.70    310     62  327.6  343.6  328.5
  500.0   5820   -3.7   -7.2     77   4.48    310     58  328.5  343.8  329.4
  495.0   5899   -4.3   -7.2     80   4.53    309     59  328.7  344.1  329.6
  482.7   6096   -5.2  -11.1     63   3.42    305     61  329.9  341.8  330.6
  474.0   6239   -5.9  -13.9     53   2.77    304     59  330.8  340.6  331.4
  446.3   6706  -10.2  -17.4     56   2.21    300     53  331.1  339.0  331.6
  442.0   6781  -10.9  -17.9     56   2.13    299     54  331.1  338.8  331.6
  428.9   7010  -13.3  -17.4     71   2.28    295     58  330.9  339.0  331.3
  425.0   7080  -14.1  -17.3     77   2.33    298     59  330.8  339.1  331.3
  417.0   7224  -13.5  -15.6     84   2.74    303     61  333.4  343.1  333.9
  404.0   7465  -14.1  -15.1     92   2.95    313     65  335.6  346.2  336.2
  401.0   7521  -14.2  -15.2     92   2.93    315     66  336.1  346.7  336.7
  400.0   7540  -14.3  -15.3     92   2.93    315     66  336.3  346.8  336.9
  395.8   7620  -14.4  -15.4     92   2.92    315     66  337.2  347.8  337.8
  388.0   7771  -14.5  -15.7     91   2.92    317     59  339.0  349.6  339.6
  364.8   8230  -17.1  -18.7     88   2.41    325     39  341.5  350.4  342.0
  322.7   9144  -22.4  -24.6     82   1.62    330     40  346.4  352.6  346.8
  313.0   9371  -23.7  -26.1     81   1.46    337     40  347.6  353.3  347.9
  309.7   9449  -24.2  -26.8     80   1.39    340     40  347.9  353.3  348.2
  300.0   9680  -25.9  -28.8     77   1.19    340     36  348.8  353.4  349.0
  259.0  10732  -34.1  -37.4     72   0.60    336     23  351.7  354.1  351.8
  250.0  10980  -36.3  -39.3     74   0.51    335     20  352.0  354.1  352.1
  236.0  11376  -39.7  -42.3     76   0.39    335     12  352.7  354.3  352.8
  228.9  11582  -41.6  -46.1     62   0.27    335      8  352.8  353.9  352.8
  228.0  11610  -41.9  -46.6     60   0.26    335      8  352.8  353.9  352.9
  207.0  12255  -47.9  -53.9     50   0.12    324      8  353.3  353.8  353.3
  200.0  12480  -50.1  -56.1     49   0.10    320      8  353.3  353.7  353.3
  190.0  12812  -53.3  -56.3     70   0.10    332      8  353.3  353.8  353.4
  186.0  12949  -54.3  -56.9     73   0.09    338      8  353.9  354.3  353.9
  182.0  13088  -55.3  -59.5     59   0.07    343      8  354.5  354.8  354.5
  175.0  13337  -57.5  -62.4     53   0.05    352      8  354.8  355.1  354.8
  168.0  13594  -58.7  -65.7     40   0.03      2      7  357.0  357.2  357.0
  166.0  13669  -58.5  -66.5     35   0.03      5      7  358.6  358.7  358.6
  160.0  13900  -59.9  -70.9     22   0.02     14      7  360.0  360.1  360.0
  156.0  14057  -60.9  -71.9     22   0.01     20      7  360.9  361.0  360.9
  150.0  14300  -62.3  -74.3     19   0.01     30      7  362.6  362.6  362.6
  142.1  14630  -64.4  -76.4     18   0.01     30     13  364.5  364.5  364.5
  139.0  14766  -65.3  -77.3     17   0.01     27     12  365.3  365.3  365.3
  128.3  15240  -68.7  -79.4     20   0.01     15      7  367.7  367.7  367.7
  115.8  15850  -73.0  -82.1     24   0.00     75      3  370.6  370.6  370.6
  108.0  16261  -75.9  -83.9     28   0.00     45      7  372.6  372.6  372.6
  105.0  16424  -74.3  -83.3     24   0.00     54     13  378.6  378.6  378.6
  104.0  16480  -72.9  -82.9     21   0.00     57     15  382.3  382.3  382.3
  100.0  16710  -72.5  -82.5     21   0.00     70     23  387.4  387.4  387.4
   76.7  18270  -73.3  -83.3     21   0.01     90     26  416.2  416.3  416.2
   76.5  18288  -73.2  -83.2     21   0.01     90     26  416.8  416.8  416.8
   70.0  18810  -70.9  -81.9     18   0.01     80     22  432.4  432.4  432.4
   69.0  18898  -70.5  -81.7     18   0.01     85     21  435.1  435.1  435.1
   65.6  19202  -69.0  -81.1     16   0.01    100     33  444.6  444.7  444.6
   62.3  19507  -67.5  -80.4     15   0.01     80     24  454.4  454.5  454.4
   56.3  20117  -64.6  -79.1     12   0.01     95     25  474.5  474.6  474.5
   54.6  20301  -63.7  -78.7     11   0.02     89     21  480.7  480.8  480.7
   53.5  20422  -63.5  -78.5     11   0.02     85     19  483.9  484.0  483.9
   51.5  20659  -63.1  -78.1     12   0.02     97     17  490.2  490.3  490.2
   50.9  20726  -62.8  -78.2     11   0.02    100     16  492.4  492.6  492.4
   50.0  20840  -62.3  -78.3     10   0.02     70     14  496.2  496.4  496.2
   48.5  21029  -60.5  -77.5      9   0.02     80     12  504.9  505.0  504.9
   46.2  21336  -60.4  -77.7      9   0.02     95     10  512.3  512.5  512.3
   41.8  21957  -60.1  -78.1      8   0.02     98      7  527.8  527.9  527.8
   39.9  22249  -58.1  -77.1      7   0.03     99      6  539.8  540.0  539.8
   38.0  22555  -58.6  -77.3      7   0.03    100      5  546.2  546.4  546.2
   33.3  23384  -59.9  -77.9      8   0.03     72      9  563.7  563.9  563.7
   30.0  24040  -57.3  -76.3      7   0.04     50     13  587.8  588.2  587.9
   28.4  24384  -56.5  -75.5      7   0.05     65     21  599.3  599.8  599.4
