72208 CHS Charleston Observations at 00Z 30 Aug 2023
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1009.0     15   26.0   22.9     83  17.78    175      2  298.4  350.3  301.6
 1000.0     88   25.4   20.4     74  15.33    160     12  298.6  343.4  301.3
  961.0    439   25.4   18.4     65  14.06    170     12  302.0  343.7  304.5
  940.0    634   24.0   19.2     75  15.13    176     12  302.4  347.4  305.2
  925.0    775   23.2   18.2     73  14.43    180     12  303.0  346.0  305.6
  913.0    889   22.4   17.4     73  13.89    182     12  303.3  344.8  305.9
  850.0   1509   19.8   15.3     75  13.03    195     12  306.9  346.4  309.3
  821.0   1808   18.4   12.4     68  11.14    201     13  308.4  342.5  310.5
  787.0   2170   16.8   10.8     68  10.44    209     13  310.5  342.7  312.4
  700.0   3159   10.8    2.8     58   6.73    230     15  314.4  335.9  315.7
  699.0   3171   10.6    2.6     58   6.65    230     15  314.3  335.5  315.6
  650.0   3771    6.4    1.4     70   6.56    226     16  316.2  337.2  317.4
  539.0   5279   -3.1   -4.2     92   5.23    214     17  322.2  339.5  323.2
  530.0   5412   -3.7   -5.0     91   5.01    213     17  323.0  339.7  324.0
  514.0   5653   -4.9   -6.1     91   4.74    212     18  324.4  340.4  325.4
  500.0   5870   -5.7   -6.9     91   4.59    210     18  326.0  341.5  326.9
  481.0   6174   -7.5   -9.0     89   4.05    213     18  327.4  341.3  328.2
  440.0   6863  -12.7  -16.3     74   2.45    221     17  329.3  337.9  329.8
  436.0   6933  -12.7  -15.4     80   2.66    222     17  330.2  339.6  330.7
  420.0   7218  -13.1  -15.5     82   2.74    226     16  333.2  343.0  333.8
  400.0   7590  -14.9  -16.8     85   2.58    230     16  335.5  344.8  336.1
  398.0   7628  -15.1  -17.0     85   2.55    230     16  335.8  345.0  336.3
  300.0   9710  -29.1  -31.9     77   0.89    255     23  344.2  347.7  344.4
  250.0  10980  -38.7  -41.7     73   0.40    265     33  348.4  350.0  348.5
  229.0  11579  -43.3  -46.8     68   0.25    259     42  350.2  351.3  350.3
  221.0  11818  -44.9  -48.1     70   0.22    257     46  351.3  352.3  351.4
  200.0  12480  -50.7  -54.7     62   0.11    250     56  352.3  352.8  352.4
  188.0  12873  -53.9  -58.1     60   0.08    250     60  353.5  353.9  353.5
  167.0  13627  -59.9  -64.6     54   0.04    255     40  355.6  355.8  355.6
  150.0  14290  -63.1  -67.0     59   0.03    260     21  361.2  361.3  361.2
  148.0  14372  -63.5  -67.4     59   0.03    259     21  361.9  362.0  361.9
  140.0  14712  -64.7  -68.9     56   0.03    255     21  365.6  365.7  365.6
  134.0  14978  -65.9  -69.9     57   0.02    252     20  368.0  368.2  368.0
  110.0  16159  -71.1  -75.9     49   0.01    238     19  379.6  379.7  379.6
  107.0  16322  -72.1  -76.5     52   0.01    236     19  380.7  380.8  380.7
  105.0  16433  -72.5  -77.1     50   0.01    235     19  382.0  382.1  382.0
  104.0  16489  -72.5  -77.5     47   0.01    238     18  383.1  383.1  383.1
  100.0  16720  -70.7  -76.7     41   0.01    250     14  390.9  390.9  390.9
   98.5  16809  -70.3  -76.3     41   0.01    260     14  393.3  393.4  393.3
   93.0  17149  -71.4  -78.3     35   0.01    300     13  397.6  397.7  397.6
   92.6  17174  -71.5  -78.5     35   0.01    287     12  398.0  398.0  398.0
   88.0  17478  -69.9  -78.4     28   0.01    135      2  406.9  407.0  406.9
   84.0  17754  -68.5  -78.2     24   0.01    155     21  415.3  415.3  415.3
   80.2  18030  -67.1  -78.1     20   0.01    188     12  423.7  423.8  423.7
   80.0  18045  -67.1  -78.1     20   0.01    190     11  424.0  424.1  424.0
   74.0  18515  -66.7  -79.1     16   0.01    290      4  434.5  434.6  434.5
   73.0  18597  -66.6  -79.3     15   0.01     25      5  436.3  436.4  436.3
   71.9  18688  -66.5  -79.5     15   0.01     77      9  438.4  438.5  438.4
   71.0  18764  -66.5  -79.5     15   0.01    120     12  440.0  440.1  440.0
   70.0  18850  -66.5  -79.5     15   0.01    125     13  441.8  441.9  441.8
   68.0  19026  -66.1  -79.8     13   0.01    110     14  446.2  446.3  446.2
   66.0  19207  -65.8  -80.2     12   0.01    160      7  450.9  451.0  450.9
   65.0  19300  -65.6  -80.3     11   0.01     75      2  453.3  453.4  453.3
   64.0  19394  -65.4  -80.5     11   0.01     15     10  455.7  455.8  455.7
   61.7  19616  -64.9  -80.9      9   0.01     75     16  461.6  461.6  461.6
   60.0  19788  -64.1  -81.0      8   0.01    120     20  467.0  467.0  467.0
   59.0  19891  -63.7  -81.0      8   0.01    130     18  470.2  470.3  470.2
   57.0  20103  -62.7  -81.0      7   0.01     90     16  477.0  477.1  477.0
   55.7  20244  -62.1  -81.1      6   0.01    111     17  481.6  481.7  481.6
