72208 CHS Charleston Observations at 12Z 06 Aug 2024
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1005.0     15   25.0   23.6     92  18.65     90      7  297.7  352.0  301.0
 1000.0     60   24.4   22.6     90  17.61    120     24  297.6  348.8  300.7
  998.0     78   24.4   22.6     90  17.65    121     24  297.7  349.1  300.9
  990.0    148   24.2   22.4     90  17.57    124     25  298.2  349.4  301.3
  982.0    220   24.4   22.8     91  18.17    127     27  299.1  352.3  302.3
  973.0    301   23.9   22.1     90  17.58    130     28  299.4  351.0  302.6
  966.0    364   23.6   21.6     89  17.14    134     29  299.7  350.0  302.8
  954.0    473   22.9   21.2     90  16.95    140     30  300.1  349.9  303.1
  940.0    602   22.1   20.8     92  16.73    135     30  300.5  349.8  303.5
  925.0    743   21.2   20.3     95  16.50    135     32  301.0  349.7  303.9
  922.0    771   21.1   20.2     95  16.45    135     32  301.1  349.7  304.1
  908.0    904   20.4   19.7     96  16.21    145     30  301.7  349.7  304.6
  898.0   1000   19.9   19.4     97  16.03    145     30  302.1  349.7  305.1
  893.0   1049   19.6   19.2     98  15.95    145     31  302.4  349.7  305.3
  888.0   1097   19.3   18.8     97  15.64    145     32  302.5  348.9  305.3
  878.0   1195   18.6   18.0     96  15.02    145     33  302.8  347.5  305.5
  876.0   1215   18.5   17.9     96  14.99    145     33  302.9  347.5  305.6
  854.0   1434   17.6   17.1     97  14.62    145     31  304.1  347.9  306.8
  850.0   1474   17.4   17.0     98  14.56    145     32  304.4  347.9  307.0
  844.0   1535   17.2   16.9     98  14.52    145     32  304.8  348.4  307.5
  842.0   1555   17.2   16.8     98  14.51    145     32  305.0  348.5  307.6
  833.0   1647   16.9   16.5     98  14.39    145     33  305.6  348.8  308.2
  823.0   1750   16.5   16.2     98  14.25    145     31  306.2  349.2  308.8
  821.0   1771   16.4   16.1     98  14.22    144     31  306.3  349.3  308.9
  813.0   1854   15.9   15.6     98  13.90    140     32  306.7  348.7  309.3
  790.0   2097   14.6   14.1     97  12.99    145     35  307.8  347.2  310.2
  784.0   2161   14.2   13.7     97  12.75    140     36  308.1  346.9  310.4
  767.0   2347   13.2   12.6     96  12.10    140     35  308.9  345.9  311.1
  750.0   2536   12.1   11.4     96  11.45    145     38  309.7  344.9  311.8
  742.0   2627   11.6   10.9     95  11.16    145     37  310.1  344.4  312.2
  724.0   2833   10.8   10.0     95  10.77    145     35  311.4  344.8  313.4
  714.0   2949   10.4    9.5     94  10.55    149     37  312.2  345.0  314.2
  703.0   3078    9.8    8.6     92  10.07    154     39  312.9  344.4  314.8
  700.0   3114    9.8    8.6     92  10.12    155     39  313.3  344.9  315.2
  693.0   3198    9.6    8.7     94  10.29    160     39  314.0  346.2  315.9
  682.0   3331    9.0    7.8     92   9.83    160     38  314.8  345.7  316.6
  678.0   3380    8.8    7.5     91   9.66    160     37  315.0  345.5  316.9
  670.0   3478    8.3    6.8     90   9.32    160     41  315.6  345.1  317.4
  663.0   3566    8.0    6.2     88   9.03    160     40  316.1  344.8  317.9
  655.0   3666    7.5    5.5     87   8.71    160     42  316.7  344.4  318.4
  653.0   3692    7.4    5.3     87   8.63    160     42  316.9  344.4  318.5
  649.0   3742    7.1    5.0     87   8.52    160     42  317.1  344.2  318.7
  642.0   3832    6.5    4.6     88   8.35    155     39  317.3  344.0  318.9
  635.0   3922    5.8    4.1     89   8.17    155     40  317.6  343.8  319.2
  630.0   3987    5.4    3.8     89   8.04    153     38  317.9  343.6  319.4
  614.0   4197    4.2    2.4     88   7.45    145     33  318.8  342.9  320.3
  608.0   4277    3.8    1.8     87   7.23    150     29  319.2  342.6  320.6
  601.0   4372    3.2    1.2     86   6.98    140     29  319.7  342.3  321.0
  598.0   4413    3.0    0.9     86   6.88    142     29  319.9  342.2  321.2
  594.0   4467    2.7    0.8     87   6.87    145     28  320.1  342.4  321.5
  588.0   4549    2.3    0.6     89   6.85    145     26  320.6  342.9  321.9
  581.0   4646    1.8    0.4     91   6.83    155     26  321.1  343.3  322.4
  575.0   4730    1.3    0.2     92   6.81    150     24  321.5  343.7  322.8
  569.0   4815    0.9    0.0     94   6.79    160     25  321.9  344.1  323.2
  568.0   4830    0.8    0.0     94   6.78    161     25  322.0  344.2  323.3
  563.0   4900    0.5   -0.2     95   6.73    165     24  322.5  344.6  323.8
  557.0   4986    0.2   -0.5     95   6.67    160     27  323.1  345.0  324.4
  551.0   5073   -0.2   -0.8     96   6.61    155     25  323.6  345.5  324.9
  545.0   5161   -0.5   -1.0     96   6.55    155     25  324.2  345.9  325.5
  539.0   5249   -0.9   -1.3     97   6.49    160     27  324.8  346.4  326.1
  532.0   5354   -1.3   -1.6     98   6.42    160     24  325.5  346.9  326.8
  513.0   5646   -2.5   -2.5    100   6.22    145     18  327.5  348.4  328.7
  510.0   5693   -2.7   -2.7    100   6.19    147     18  327.8  348.6  329.1
  501.0   5834   -3.3   -3.3    100   6.03    154     20  328.8  349.1  330.0
  500.0   5850   -3.5   -3.5    100   5.95    155     20  328.7  348.8  329.9
  486.0   6073   -4.5   -4.9     97   5.49    150     19  330.1  348.9  331.2
  480.0   6170   -5.0   -5.5     96   5.30    155     20  330.8  348.9  331.8
  473.0   6286   -5.5   -6.3     94   5.09    155     21  331.5  349.0  332.5
  470.0   6335   -5.7   -6.6     93   5.00    156     21  331.8  349.0  332.8
  458.0   6537   -6.7   -7.9     91   4.63    159     23  333.1  349.1  334.0
  455.0   6588   -6.9   -8.1     92   4.61    160     23  333.4  349.5  334.4
  450.0   6674   -7.2   -8.3     92   4.57    160     24  334.1  350.0  335.0
  446.0   6743   -7.5   -8.5     93   4.54    160     22  334.6  350.4  335.5
  444.0   6778   -7.7   -8.7     92   4.49    160     21  334.8  350.5  335.7
  438.0   6883   -8.2   -9.3     92   4.34    165     23  335.4  350.6  336.2
  432.0   6989   -8.8   -9.9     92   4.19    170     22  335.9  350.7  336.8
  421.0   7188   -9.9  -11.1     91   3.93    180     20  337.1  351.0  337.9
  416.0   7280  -10.4  -11.6     91   3.81    185     20  337.6  351.1  338.4
  415.0   7299  -10.5  -11.7     91   3.79    184     20  337.7  351.2  338.4
  405.0   7485  -11.8  -13.0     91   3.50    170     18  338.4  350.9  339.1
  401.0   7561  -12.3  -13.5     91   3.39    174     20  338.7  350.8  339.4
  400.0   7580  -12.3  -13.5     91   3.39    175     20  338.9  351.1  339.6
  384.0   7891  -14.2  -15.7     89   2.96    155     22  340.4  351.2  341.0
  383.0   7911  -14.3  -15.8     88   2.93    155     22  340.5  351.2  341.1
  378.0   8010  -14.8  -16.2     89   2.86    155     22  341.1  351.6  341.7
  372.0   8131  -15.5  -16.8     90   2.78    155     22  341.8  352.0  342.3
  362.0   8336  -16.9  -18.3     89   2.50    155     21  342.5  351.8  343.0
  361.0   8357  -17.1  -18.5     89   2.48    155     21  342.6  351.8  343.1
  348.0   8631  -19.1  -20.6     88   2.15    160     21  343.5  351.5  343.9
  347.0   8652  -19.2  -20.8     88   2.12    160     21  343.6  351.5  344.0
  342.0   8760  -19.9  -21.5     87   2.02    170     21  344.1  351.7  344.5
  337.0   8869  -20.6  -22.3     86   1.91    165     23  344.6  351.8  345.0
  335.0   8913  -20.9  -22.6     86   1.87    165     23  344.8  351.9  345.2
  333.0   8957  -21.2  -22.8     87   1.84    165     23  345.0  352.0  345.4
  328.0   9069  -21.9  -23.4     88   1.78    165     22  345.5  352.3  345.9
  323.0   9182  -22.6  -24.1     87   1.69    165     15  346.1  352.6  346.4
  322.0   9205  -22.7  -24.3     87   1.67    164     15  346.2  352.6  346.6
  318.0   9296  -23.4  -24.9     87   1.60    160     15  346.5  352.7  346.9
  316.0   9342  -23.7  -25.2     87   1.57    164     14  346.7  352.7  347.0
  313.0   9412  -24.1  -25.7     87   1.52    170     12  347.1  352.9  347.4
  309.0   9505  -24.7  -26.3     86   1.45    165     10  347.5  353.2  347.9
  306.0   9576  -25.1  -26.8     86   1.40    158     11  347.9  353.4  348.2
  300.0   9720  -25.9  -27.5     86   1.34    145     13  348.8  354.0  349.1
  299.0   9744  -26.1  -27.7     86   1.32    145     13  348.8  354.0  349.1
  294.0   9866  -27.0  -28.6     87   1.24    135     13  349.2  354.1  349.5
  285.0  10092  -28.7  -30.2     87   1.10    131     16  349.9  354.3  350.1
