72208 CHS Charleston Observations at 12Z 30 Sep 2022
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1003.0     15   15.6   14.8     95  10.66      0      9  288.5  318.5  290.4
 1000.0     47   15.4   14.8     96  10.69    355     16  288.6  318.6  290.4
  984.0    181   14.7   14.3     98  10.54      0     33  289.1  318.9  291.0
  969.0    309   13.9   13.9    100  10.39      5     44  289.7  319.1  291.5
  966.0    334   13.8   13.8    100  10.37      6     46  289.8  319.1  291.6
  961.0    377   13.6   13.6    100  10.28      8     49  290.0  319.2  291.8
  955.0    429   13.6   13.6    100  10.35     11     53  290.6  319.9  292.4
  947.0    499   13.4   13.4    100  10.30     15     59  291.0  320.4  292.9
  935.0    605   14.4   14.3     99  11.05     20     67  293.1  324.8  295.1
  925.0    694   15.2   15.0     99  11.72     30     71  294.8  328.6  296.9
  913.0    805   16.4   16.1     98  12.76     35     73  297.2  334.3  299.5
  903.0    899   16.1   15.9     98  12.72     40     74  297.8  334.9  300.1
  894.0    984   15.9   15.7     99  12.67     40     76  298.4  335.5  300.7
  850.0   1414   14.6   14.6    100  12.44     45     62  301.4  338.3  303.7
  784.0   2093   12.0   12.0    100  11.38     60     52  305.7  340.1  307.8
  760.0   2354   11.0   11.0    100  10.98     70     46  307.4  340.8  309.4
  700.0   3044    8.4    8.4    100   9.98     60     41  311.8  342.8  313.6
  670.0   3398    6.6    6.6    100   9.23     55     35  313.7  342.7  315.5
  642.0   3742    4.9    4.9    100   8.55     60     42  315.6  342.7  317.2
  608.0   4181    2.8    2.8    100   7.73     70     34  318.0  342.9  319.5
  501.0   5744   -5.0   -5.0    100   5.29     95     21  326.7  344.5  327.7
  500.0   5760   -5.1   -5.1    100   5.27     95     21  326.8  344.5  327.8
  496.0   5822   -5.4   -5.5    100   5.16     85     21  327.1  344.5  328.1
  481.0   6060   -6.7   -6.9     98   4.75    100     21  328.4  344.6  329.3
  404.0   7413  -14.1  -15.2     91   2.91     80     16  335.6  346.1  336.2
  400.0   7490  -14.5  -15.7     91   2.83     80     17  336.1  346.2  336.6
  336.0   8787  -23.2  -25.0     86   1.51    135      9  341.3  347.0  341.6
  329.0   8944  -24.3  -26.1     85   1.39    151     10  341.9  347.2  342.2
  308.0   9420  -27.9  -29.1     89   1.13    200     12  343.4  347.8  343.6
  300.0   9610  -29.3  -30.3     91   1.03    190     12  344.0  348.0  344.2
  279.0  10121  -33.1  -33.2     99   0.84    179     22  345.7  349.0  345.9
  271.0  10324  -34.8  -35.8     91   0.67    175     26  346.1  348.8  346.2
  266.0  10453  -35.9  -37.4     86   0.58    177     31  346.4  348.7  346.5
  262.0  10558  -36.1  -37.2     90   0.60    179     36  347.6  350.0  347.7
  253.0  10798  -37.3  -37.8     95   0.59    184     46  349.3  351.7  349.4
  250.0  10880  -38.1  -39.0     91   0.52    185     49  349.3  351.4  349.4
  239.0  11189  -40.7  -42.7     81   0.37    191     44  349.9  351.5  350.0
  236.0  11275  -41.5  -42.7     88   0.38    193     42  349.9  351.5  350.0
  227.0  11538  -43.9  -46.0     80   0.27    199     38  350.2  351.4  350.2
  217.0  11838  -46.0  -47.4     86   0.25    205     33  351.4  352.5  351.5
  200.0  12380  -49.9  -49.9    100   0.20    195     39  353.6  354.5  353.6
  199.0  12413  -50.3  -50.3    100   0.19    193     39  353.5  354.3  353.5
  198.0  12444  -50.5  -50.5    100   0.19    190     39  353.6  354.5  353.7
  168.0  13483  -57.5  -57.5    100   0.10    215     47  359.0  359.5  359.0
  150.0  14200  -62.3  -62.3    100   0.06    230     31  362.6  362.8  362.6
  147.0  14321  -63.0  -63.0    100   0.05    225     29  363.4  363.6  363.4
  138.0  14698  -65.3  -65.3    100   0.04    225     38  365.9  366.1  365.9
  131.0  15008  -67.2  -67.2    100   0.03    240     36  368.0  368.2  368.0
  112.0  15944  -73.0  -73.0    100   0.02    200     12  374.2  374.3  374.2
  107.0  16216  -74.6  -74.6    100   0.01    185     17  375.9  376.0  375.9
  100.0  16620  -77.1  -77.1    100   0.01    195     23  378.5  378.6  378.5
   97.8  16747  -77.7  -77.7    100   0.01    205     25  379.8  379.8  379.8
   96.7  16811  -77.7  -77.7    100   0.01    210     23  381.0  381.1  381.0
   89.0  17297  -72.9  -74.6     77   0.02    245     12  399.8  399.9  399.8
   86.0  17498  -70.9  -73.4     69   0.02    230     11  407.7  407.9  407.8
   80.0  17921  -66.7  -70.7     57   0.03      0      5  424.9  425.1  424.9
   79.0  17995  -65.9  -70.2     55   0.04     75      3  428.0  428.2  428.0
   78.7  18017  -65.7  -70.1     54   0.04     79      4  428.9  429.1  428.9
   73.0  18469  -67.7  -72.7     49   0.03    156     19  434.0  434.1  434.0
   72.0  18551  -67.4  -73.1     44   0.03    170     22  436.2  436.4  436.3
   70.0  18720  -66.9  -73.9     37   0.02    185     12  440.9  441.1  440.9
   68.0  18896  -66.4  -74.0     33   0.02    160      6  445.7  445.9  445.7
   67.0  18986  -66.1  -74.1     32   0.02    185      5  448.1  448.3  448.2
   66.9  18995  -66.1  -74.1     32   0.03    181      5  448.4  448.6  448.4
   65.0  19170  -66.9  -75.3     30   0.02    100      3  450.4  450.5  450.4
   62.2  19436  -68.1  -77.1     27   0.02     67      9  453.4  453.5  453.4
   62.0  19456  -68.0  -77.1     26   0.02     65      9  454.0  454.1  454.0
   60.0  19656  -67.2  -77.5     22   0.02     50      3  460.2  460.3  460.2
   59.0  19759  -66.8  -77.7     20   0.02     10      4  463.4  463.5  463.4
   58.0  19863  -66.3  -77.9     18   0.02     15      9  466.6  466.7  466.6
   56.0  20078  -65.4  -78.2     15   0.02     80     11  473.4  473.5  473.4
   54.0  20300  -64.5  -78.7     13   0.02     50     13  480.4  480.6  480.4
   52.0  20530  -63.5  -79.1     10   0.01     70     13  487.9  488.0  487.9
   50.0  20770  -62.5  -79.5      9   0.01     35     17  495.8  495.9  495.8
   48.0  21024  -61.9  -79.4      8   0.02     95     23  503.0  503.1  503.0
   45.0  21425  -60.9  -79.2      7   0.02    125     14  514.7  514.9  514.7
   43.0  21708  -60.3  -79.1      7   0.02     60     15  523.1  523.2  523.1
   42.0  21855  -59.9  -79.1      7   0.02     70     12  527.5  527.6  527.5
   41.0  22004  -59.5  -79.0      6   0.02     40      2  532.0  532.2  532.0
   40.0  22158  -59.2  -79.0      6   0.02     10      4  536.7  536.9  536.7
   39.0  22316  -58.8  -78.9      6   0.02    355      7  541.6  541.7  541.6
   37.0  22643  -58.0  -78.8      5   0.02      0      9  551.8  552.0  551.8
   35.0  22989  -57.2  -78.6      5   0.02      5     12  562.8  563.0  562.8
   33.0  23355  -56.3  -78.5      5   0.03     75     12  574.6  574.9  574.6
   31.0  23744  -55.4  -78.3      4   0.03    110     12  587.5  587.7  587.5
   30.8  23784  -55.3  -78.3      4   0.03    104     12  588.8  589.1  588.9
   30.0  23950  -55.9  -77.9      5   0.03     80     14  591.6  591.9  591.7
   29.0  24165  -56.8  -78.5      5   0.03     75     17  595.0  595.3  595.0
   27.0  24617  -58.6  -79.6      5   0.03    110     24  602.1  602.4  602.1
   26.9  24640  -58.7  -79.7      5   0.03    114     23  602.5  602.8  602.5
   24.0  25368  -56.4  -78.5      5   0.04    250      5  629.2  629.5  629.2
   23.0  25639  -55.5  -78.1      4   0.04    135      8  639.4  639.8  639.4
   22.0  25922  -54.6  -77.7      4   0.04     30      6  650.3  650.7  650.3
   21.0  26219  -53.7  -77.2      4   0.05     70     14  661.8  662.3  661.8
   20.0  26530  -52.7  -76.7      4   0.06    110      7  674.1  674.7  674.1
   19.0  26866  -52.0  -76.4      4   0.06     40      4  686.4  687.0  686.4
   18.0  27220  -51.2  -76.0      4   0.07     75     15  699.5  700.2  699.5
   17.0  27595  -50.3  -75.6      3   0.08      5     10  713.7  714.5  713.7
   16.0  27992  -49.5  -75.2      3   0.09     40     20  729.0  730.0  729.1
   15.0  28415  -48.5  -74.8      3   0.10     75     20  745.7  746.8  745.7
   14.0  28867  -47.5  -74.3      3   0.12     95     14  763.9  765.2  764.0
   13.0  29353  -46.5  -73.8      3   0.13     25      6  784.0  785.5  784.0
   12.0  29877  -45.3  -73.3      3   0.16     70     17  806.2  808.0  806.3
   11.0  30447  -44.0  -72.8      3   0.19     80      6  831.1  833.3  831.2
